paper_id,ai_decision,ai_rank,ai_confidence
d2d3ddddcdf5,include,586,0.6583
6257d900d3ef,include,587,0.6583
054b1aece0f5,include,588,0.6583
e85c4a57b404,include,589,0.6583
1caec67a4a64,include,590,0.6583
bff56d418654,include,591,0.6582
58a29f9f57a7,include,592,0.6582
02446759dd9a,include,593,0.6582
af4e619c425a,include,594,0.6582
99d3efa89dee,include,595,0.6582
2e50f5eeb724,include,596,0.6582
f9f0249a4f6d,include,597,0.6582
9941f00c01c0,include,598,0.6582
bf4bc8cdafa5,include,599,0.6582
2508ae0974f8,include,600,0.6582
d05bf542e350,include,601,0.6582
3d5ea7697e65,include,602,0.6582
479092dfcc1c,include,603,0.6582
ef99551dab0f,include,604,0.6582
4b57b84a649d,include,605,0.6582
a3fefc484b11,include,606,0.6582
4b7081c4d5a6,include,607,0.6582
4d07c1a00ccf,include,608,0.6582
5a7fc9a445a7,include,609,0.6582
ee64df80dd51,include,610,0.6582
0e33c7655106,include,611,0.6582
cccc9042f8dc,include,612,0.6582
2c22225a38e7,include,613,0.6582
296dd193c78f,include,614,0.6582
52e0df095385,include,615,0.6582
2c74be1a024b,include,616,0.6582
d18096ef8f4c,include,617,0.6582
3dab03adc3b9,include,618,0.6581
e07adedbb71e,include,619,0.6581
3e67731723a5,include,620,0.6581
ddd77f0637f4,include,621,0.6581
5f6d8ada1ba7,include,622,0.6581
a2b747cae698,include,623,0.6581
4a0aa5aec642,include,624,0.6581
6684e6c1b57f,include,625,0.6581
b7b5ffbce8ec,include,626,0.6581
7a47e22ecc89,include,627,0.6581
0d496e5047bb,include,628,0.6581
213f8b6bded5,include,629,0.6581
d74a5ac7f26d,include,630,0.6581
33968c404556,include,631,0.6581
6cb040f251ff,include,632,0.6581
aaf1ccf3bec9,include,633,0.6581
a980923d8f37,include,634,0.6581
81bd2e9be882,include,635,0.6581
bb719c33a7f1,include,636,0.6581
cb2b33577b51,include,637,0.6581
c21e5c3f4079,include,638,0.6581
49aaab8109ac,include,639,0.6581
ff19794a25c3,include,640,0.6581
53bdb7dbe847,include,641,0.6580
dd43141323b8,include,642,0.6580
e922f913e80b,include,643,0.6580
a48767ea7c59,include,644,0.6580
5761d4b2accf,include,645,0.6580
aa74f873e447,include,646,0.6580
5bd5a79bc18a,include,647,0.6580
b4634f8d9776,include,648,0.6580
c233bf88de0f,include,649,0.6580
136790c5fbc5,include,650,0.6580
95047bf5cafe,include,651,0.6580
b74070125eb9,include,652,0.6580
88ad6c2e706d,include,653,0.6580
0f3a64e9e3ed,include,654,0.6580
88e7d870aeb0,include,655,0.6580
c32e5def863d,include,656,0.6580
228c86b4e0a3,include,657,0.6580
ec8a31deb872,include,658,0.6580
a647c0eec342,include,659,0.6580
d288059de52f,include,660,0.6580
2e9f88ec6794,include,661,0.6580
a7ee58fcfebe,include,662,0.6579
c0bdb4f7322b,include,663,0.6579
20bf1514a7e4,include,664,0.6579
52c78fe210a0,include,665,0.6579
4b22c753a5a4,include,666,0.6579
6c3fc616c6a6,include,667,0.6579
0f7f90373ad0,include,668,0.6579
119357a78b60,include,669,0.6579
171bbe825279,include,670,0.6579
d6de8ee88058,include,671,0.6579
24ca4814e7f2,include,672,0.6579
0461a0d0b4d6,include,673,0.6579
48554ad14632,include,674,0.6579
60e914ec3bd4,include,675,0.6579
9e29b5ca3619,include,676,0.6579
6d38c9fcd7b6,include,677,0.6579
8f553bfb1077,include,678,0.6579
5108ae937d7c,include,679,0.6579
349c85ac46df,include,680,0.6579
3a2e5929d274,include,681,0.6579
36b139aa66a9,include,682,0.6578
1f628b8e78f9,include,683,0.6578
2431edffd251,include,684,0.6578
576b67ad55fc,include,685,0.6578
828cf1492abc,include,686,0.6578
1f8bcb9fc16e,include,687,0.6578
5fe9ed3a3309,include,688,0.6578
04f8c09bc88c,include,689,0.6578
00ec561ceb37,include,690,0.6578
6e6696a9c05a,include,691,0.6578
eaecc410144e,include,692,0.6578
b53a1a4c76d9,include,693,0.6578
95691e1c06a8,include,694,0.6578
e7e84a5252aa,include,695,0.6578
e1dfdd91351f,include,696,0.6578
de1cd931ad3c,include,697,0.6578
9b2873973a84,include,698,0.6578
17bdd7cd3645,include,699,0.6577
b8dcb2e989c2,include,700,0.6577
5e0ebfa7049b,include,701,0.6577
d806e0705e44,include,702,0.6577
79e0e9ecffb8,include,703,0.6577
73501f9e324b,include,704,0.6577
7b6781e1c4a1,include,705,0.6577
94dbaa0bc6b4,include,706,0.6577
645e6ec4f04e,include,707,0.6577
218efe20a747,include,708,0.6577
06b8dff14727,include,709,0.6577
dae51f0e34bf,include,710,0.6577
bf3bef589fe1,include,711,0.6577
7e3bc9e2594c,include,712,0.6577
e4ff7159708b,include,713,0.6577
40b3b75e797b,include,714,0.6577
c1358ec0f6a6,include,715,0.6577
9f73dad9633b,include,716,0.6577
4e3beac0063e,include,717,0.6577
1563ac0e1f56,include,718,0.6577
77f0bbb6e5f3,include,719,0.6577
ad6176cb9a5c,include,720,0.6577
c13a6f8fd044,include,721,0.6577
0fd25bb2fc0b,include,722,0.6577
c48c60134357,include,723,0.6577
300b3ee8aceb,include,724,0.6577
3e960c943137,include,725,0.6577
3adb18321a79,include,726,0.6577
cb3e3aa597a2,include,727,0.6577
da7ecd113b59,include,728,0.6576
7e36d7116374,include,729,0.6576
f3012db8336c,include,730,0.6576
b9ec84f4d48c,include,731,0.6576
7f2aefbbc98e,include,732,0.6576
47c971666aa3,include,733,0.6576
c825d0c427e6,include,734,0.6576
17f5df5d66f8,include,735,0.6576
fbec16f60f72,include,736,0.6576
8214cc57c5ab,include,737,0.6576
47aea040b443,include,738,0.6576
bc6354e95df8,include,739,0.6576
76ee3cb38743,include,740,0.6576
0e28114f39a8,include,741,0.6576
4c50b01d13fe,include,742,0.6576
946de9be2224,include,743,0.6576
1055b6d19929,include,744,0.6576
670ab0b08451,include,745,0.6576
c09387a1f1d8,include,746,0.6576
6f9afdb83229,include,747,0.6576
7a2871898d6c,include,748,0.6576
82ee5df1d799,include,749,0.6575
4d381dd0cfbe,include,750,0.6575
b377018e4501,include,751,0.6575
63d3d6d08271,include,752,0.6575
0605d83e5e91,include,753,0.6575
2683a83ee391,include,754,0.6575
5271e4cbb8d4,include,755,0.6575
693386893e08,include,756,0.6575
